,RANK,DISTRIBUTORS,MOVIES,TOTAL GROSS,AVERAGE GROSS,MARKET SHARE
0,1,Walt Disney,588,40472424278,68830654,17.02
1,2,Warner Bros.,824,36269425479,44016293,15.25
2,3,Sony Pictures,747,29113002302,38973229,12.24
3,4,Universal,535,28089932569,52504547,11.81
4,5,20th Century Fox,525,25857839756,49253028,10.88
5,6,Paramount Pictures,493,24361425304,49414656,10.25
6,7,Lionsgate,426,9631837781,22609948,4.05
7,8,New Line,209,6195268024,29642431,2.61
8,9,Dreamworks SKG,77,4278649271,55566874,1.8
9,10,Miramax,385,3836019208,9963686,1.61
