,RANK,GENRES,MOVIES,TOTAL GROSS,AVERAGE GROSS,MARKET SHARE
0,1,Adventure,1102,64529536530,58556748,27.14
1,2,Action,1098,49339974493,44936224,20.75
2,3,Drama,5479,35586177269,6495013,14.97
3,4,Comedy,2418,33687992318,13932172,14.17
4,5,Thriller/Suspense,1186,19810201102,16703374,8.33
5,6,Horror,716,13430378699,18757512,5.65
6,7,Romantic Comedy,630,10480124374,16635118,4.41
7,8,Musical,201,4293988317,21363126,1.81
8,9,Documentary,2415,2519513142,1043277,1.06
9,10,Black Comedy,213,2185433323,10260250,0.92
