,YEAR,WARNER BROS,WALT DISNEY,20TH CENTURY FOX,PARAMOUNT PICTURES,SONY PICTURES,UNIVERSAL,TOTAL MAJOR 6,TOTAL OTHER STUDIOS
0,2021,17,7,0,4,16,17,61,38
1,2020,5,3,1,3,9,13,34,23
2,2019,18,10,11,9,18,21,87,44
3,2018,19,10,11,10,16,20,86,58
4,2017,18,8,14,10,16,15,81,50
5,2016,17,12,16,12,16,22,95,46
6,2015,22,11,18,9,13,20,93,33
7,2014,17,12,17,10,17,15,88,37
8,2013,17,8,15,8,14,16,78,42
9,2012,16,11,15,13,18,17,90,42
10,2011,20,13,15,13,21,19,101,35
11,2010,20,12,18,12,17,17,96,30
12,2009,25,14,20,10,21,21,111,30
13,2008,19,11,22,14,19,19,104,48
14,2007,30,13,17,16,22,20,118,50
15,2006,26,17,25,13,26,21,128,31
16,2005,20,20,19,12,19,17,107,30
17,2004,27,25,18,14,15,14,113,25
18,2003,28,19,13,14,19,13,106,23
19,2002,32,23,15,16,20,13,119,21
20,2001,30,16,16,14,17,10,103,25
21,2000,29,22,13,12,15,13,104,27
22,1999,27,20,15,13,22,16,113,19
23,1998,27,21,11,11,20,16,106,20
24,1997,31,22,12,16,22,11,114,22
25,1996,31,23,13,16,24,13,120,22
26,1995,27,22,11,12,20,17,109,27
